user_id,username,password_hash,full_name,role,state,district,status,created_at
USR-00001,admin_1,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,Rajesh Sharma,ADMIN,ALL,ALL,Active,2024-01-01 10:00:00
USR-00002,admin_2,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,Ananya Verma,ADMIN,ALL,ALL,Active,2024-01-01 10:00:00
USR-00003,admin_3,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,Vikramaditya Singh,ADMIN,ALL,ALL,Active,2024-01-01 10:00:00
USR-00004,admin_4,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,Sunita Reddy,ADMIN,ALL,ALL,Active,2024-01-01 10:00:00
USR-00005,admin_5,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,Arjun Patel,ADMIN,ALL,ALL,Active,2024-01-01 10:00:00
USR-00006,admin_6,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,Priya Nair,ADMIN,ALL,ALL,Active,2024-01-01 10:00:00
USR-00007,admin_7,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,Sanjay Banerjee,ADMIN,ALL,ALL,Active,2024-01-01 10:00:00
USR-00008,admin_8,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,Deepak Joshi,ADMIN,ALL,ALL,Active,2024-01-01 10:00:00
USR-00009,admin_9,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,Meenakshi Sundaram,ADMIN,ALL,ALL,Active,2024-01-01 10:00:00
USR-00010,admin_10,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,Amitabh Choudhury,ADMIN,ALL,ALL,Active,2024-01-01 10:00:00
